Method,Metric,Mean,Std,Min,Max,N_runs
quantum,accuracy,0.875000,0.000000,0.875000,0.875000,30
quantum,f1,0.666667,0.000000,0.666667,0.666667,30
quantum,precision,1.000000,0.000000,1.000000,1.000000,30
quantum,recall,0.500000,0.000000,0.500000,0.500000,30
quantum,runtime,1.437820,0.046086,1.386153,1.600996,30
quantum,energy,10352.304240,331.817297,9980.300880,11527.174080,30
svm,accuracy,0.975000,0.000000,0.975000,0.975000,30
svm,f1,0.974359,0.000000,0.974359,0.974359,30
svm,precision,1.000000,0.000000,1.000000,1.000000,30
svm,recall,0.950000,0.000000,0.950000,0.950000,30
svm,runtime,0.010011,0.001576,0.007863,0.014135,30
svm,energy,1.261349,0.198631,0.990725,1.780997,30
rf,accuracy,0.996970,0.000000,0.996970,0.996970,30
rf,f1,0.998115,0.000000,0.998115,0.998115,30
rf,precision,0.999245,0.000000,0.999245,0.999245,30
rf,recall,0.996988,0.000000,0.996988,0.996988,30
rf,runtime,0.275561,0.022491,0.251777,0.357207,30
rf,energy,34.720694,2.833829,31.723839,45.008132,30
gbm,accuracy,0.995758,0.000000,0.995758,0.995758,30
gbm,f1,0.997361,0.000000,0.997361,0.997361,30
gbm,precision,0.998491,0.000000,0.998491,0.998491,30
gbm,recall,0.996235,0.000000,0.996235,0.996235,30
gbm,runtime,0.506073,0.037207,0.463598,0.618908,30
gbm,energy,63.765141,4.688061,58.413373,77.982433,30
knn,accuracy,0.993939,0.000000,0.993939,0.993939,30
knn,f1,0.996224,0.000000,0.996224,0.996224,30
knn,precision,0.999242,0.000000,0.999242,0.999242,30
knn,recall,0.993223,0.000000,0.993223,0.993223,30
knn,runtime,0.033133,0.003438,0.026920,0.041294,30
knn,energy,4.174819,0.433192,3.391907,5.203019,30
QAOA,qaoa_cut,5.348917,0.084235,5.115000,5.450500,30
QAOA,qaoa_ratio,0.764131,0.012034,0.730714,0.778643,30
QAOA,qaoa_runtime,0.793213,0.100378,0.591828,0.994155,30
QAOA,qaoa_energy,5711.133648,722.722682,4261.164480,7157.913120,30
