run,vqe_energy_hartree,vqe_error_hartree,vqe_runtime_s,vqe_energy_j,vqe_iterations,exact_energy_hartree,exact_runtime_s,exact_energy_j
1,-1.852112,0.005163,3.9747,28617.6420,54,-1.857275,0.000262,0.033050
2,-1.863877,0.006602,4.0007,28804.8838,55,-1.857275,0.000321,0.040459
3,-1.853641,0.003634,4.1696,30021.2863,57,-1.857275,0.000358,0.045133
4,-1.860034,0.002759,3.7819,27229.3207,52,-1.857275,0.000236,0.029686
5,-1.865301,0.008026,4.0241,28973.8238,55,-1.857275,0.000238,0.030038
6,-1.856837,0.000438,3.9307,28300.8802,53,-1.857275,0.000227,0.028640
7,-1.859921,0.002646,3.7274,26837.2512,49,-1.857275,0.000231,0.029156
8,-1.860164,0.002889,4.3902,31609.6301,60,-1.857275,0.000246,0.031059
9,-1.856005,0.001270,4.3904,31610.9585,60,-1.857275,0.000251,0.031613
10,-1.858551,0.001276,3.7902,27289.2643,52,-1.857275,0.000395,0.049820
11,-1.862951,0.005676,4.2449,30563.3412,58,-1.857275,0.000222,0.027934
12,-1.799084,0.058191,4.4184,31812.6406,60,-1.857275,0.000255,0.032143
13,-1.853219,0.004056,3.8454,27686.9930,52,-1.857275,0.000251,0.031651
14,-1.843891,0.013384,4.7221,33999.2086,60,-1.857275,0.000321,0.040459
15,-1.861289,0.004014,4.0215,28954.9303,54,-1.857275,0.000242,0.030479
16,-1.861043,0.003768,3.9168,28200.8189,53,-1.857275,0.000269,0.033844
17,-1.819158,0.038117,4.4429,31989.0629,60,-1.857275,0.000331,0.041731
18,-1.856442,0.000833,4.2957,30928.8276,58,-1.857275,0.000271,0.034133
19,-1.855259,0.002016,4.2875,30870.3175,58,-1.857275,0.000241,0.030404
20,-1.858628,0.001353,4.4738,32211.2131,60,-1.857275,0.000254,0.031941
21,-1.856955,0.000320,4.4418,31980.9802,60,-1.857275,0.000309,0.038972
22,-1.851465,0.005810,3.7325,26874.0468,50,-1.857275,0.000251,0.031601
23,-1.865316,0.008041,4.4311,31903.9438,59,-1.857275,0.000287,0.036187
24,-1.850213,0.007062,4.2452,30565.4184,58,-1.857275,0.000253,0.031916
25,-1.848282,0.008993,4.1346,29769.4397,56,-1.857275,0.000316,0.039791
26,-1.863579,0.006304,4.2313,30465.3506,58,-1.857275,0.000443,0.055780
27,-1.856759,0.000516,3.7449,26963.4262,51,-1.857275,0.000282,0.035507
28,-1.857998,0.000723,3.9269,28273.3762,52,-1.857275,0.000246,0.030958
29,-1.853666,0.003609,4.2524,30617.1605,58,-1.857275,0.000277,0.034889
30,-1.859810,0.002535,4.3132,31054.8852,59,-1.857275,0.000226,0.028463
